義項id,詞目漢字,解說,對應義項id,對應詞目漢字,對應解說
,散食人,窮人。指收入所得比一般水準來得低的人。又作「散赤人」(sàn-tshiah-lâng)。,,好額人,有錢人。錢財充裕、生活富足的人。
,散食人,窮人。指收入所得比一般水準來得低的人。又作「散赤人」(sàn-tshiah-lâng)。,,有錢人,富有的人。
,散食人,窮人。指收入所得比一般水準來得低的人。又作「散赤人」(sàn-tshiah-lâng)。,,財主,富翁。指有錢人。
,散食人,窮人。指收入所得比一般水準來得低的人。又作「散赤人」(sàn-tshiah-lâng)。,,富戶,有錢人家。
,散票,零鈔、小鈔。小額的紙幣，不包含硬幣。,,大百,大鈔。大面額的鈔票。
,散票,零鈔、小鈔。小額的紙幣，不包含硬幣。,,大張的,特指大鈔。指千元以上，大面額大的鈔票。
,普通,通常、一般。,,怪奇,奇怪、奇特、蹊蹺。
,期待,希望、盼望。,,失望,希望落空，心裡難過。
,暑假,各級學校因為夏天暑熱而放假，時間通常是在七月、八月。,,歇寒,放寒假。
,殘忍,兇惡狠毒。,,仁慈,和善、善良。慈悲，寬大慈善。
,減省,儉省、節省。,,浪費,沒有節制、無益的耗費。
,減省,儉省、節省。,,討債,浪費、蹧蹋。沒有節制、無益的耗費。
,欺負,欺悔、欺凌。,,疼痛,疼愛、關切憐惜。
,欺負,欺悔、欺凌。,,照顧,照料、看顧、幫助。
,殘酷,殘忍、冷酷無情。,,仁慈,和善、善良。慈悲，寬大慈善。
,無,沒有。,,有,表事實或狀況的正面存在，與「無」(bû)相對。
,焦,形容物體乾燥，沒有水分。,,澹,溼。
,焦,形容物體乾燥，沒有水分。,,溼,含有微量水分而覺得潮溼不乾爽。
,無一定,不一定、不確定。,,必然,確定不移。
,無人緣,沒有人緣，不討人喜歡。,,有人緣,人緣好。和大家相處融洽、關係良好。
,無天理,沒有天理。通常用在感嘆人事不公。,,天公地道,天地間原本如此而不容改變的道理。非常公平公道。
,無天理,沒有天理。通常用在感嘆人事不公。,,合該然,理當如此。同意且支持對方提出的處理方式。
,無毋著,沒錯。,,毋著,不對。
,無半絲,全無。一點兒也沒有，是加重語氣的用法。,,窒倒街,到處都有、充斥四處。貨物多到把整條街塞得滿滿的，用來比喻東西非常多。
,無半絲,全無。一點兒也沒有，是加重語氣的用法。,,滿四界,處處、遍地。到處都是。
,無半絲,全無。一點兒也沒有，是加重語氣的用法。,,規山坪,滿山遍野。
,無半絲,全無。一點兒也沒有，是加重語氣的用法。,,規山坪,比喻到處都是。
,無半項,一樣東西都沒有。引申指人一無所知、一無是處、無能的樣子。,,窒倒街,到處都有、充斥四處。貨物多到把整條街塞得滿滿的，用來比喻東西非常多。
,無半項,一樣東西都沒有。引申指人一無所知、一無是處、無能的樣子。,,滿四界,處處、遍地。到處都是。
,無半項,一樣東西都沒有。引申指人一無所知、一無是處、無能的樣子。,,規山坪,滿山遍野。
,無半項,一樣東西都沒有。引申指人一無所知、一無是處、無能的樣子。,,規山坪,比喻到處都是。
,無步,沒轍。沒辦法。,,有法度,有辦法、有能力。
,無事使,喻沒有用、不中用。,,有路用,有用處、有益處。
,無定著,也許、說不定。,,必然,確定不移。
,無定著,也許、說不定。,,定規,必定、必然、肯定。
,無定著,指小孩子不安定，無法安靜下來。,,得定,鎮定、穩重。
,無拄好,不巧。,,千拄千,無巧不成書，準確的有點異常。
,無拄好,不巧。,,拄仔,恰恰、恰巧。
,無拄好,不巧。,,對千,剛好、恰好。
,無所謂,不要緊、沒關係。,,有要緊,對事情嚴重程度的一種慣用說法。
,無法度,沒辦法、沒能力。,,有法度,有辦法、有能力。
,無法度,沒辦法、沒能力。,,有路來,有辦法、做得來。
,無的確,說不定、不一定。,,必然,確定不移。
,無的確,說不定、不一定。,,的確,一定。
,無要緊,不要緊、沒關係。,,有要緊,對事情嚴重程度的一種慣用說法。
,無眠,睡眠不足。,,落眠,熟睡、沉睡。
,無神,無精打采、沒精神。,,有神,形容有神采、精神飽滿。
,無神,無精打采、沒精神。,,精英,有元氣、有活力。
,無夠月,早產。胎兒在子宮內發育月數不足，便因故出生。,,夠月,胎兒在母體中成長的月分已足。一般為37週。
,無夠重,不夠重、重量不足，也引申為看不起人。,,看有起,看重、看得起；一般視為離合詞。
,無張持,不小心。沒注意到。,,刁工,故意。
,無張持,不小心。沒注意到。,,刁持,故意、存心。
,無張持,不小心。沒注意到。,,刁意故,故意、存心。
,無張持,不小心。沒注意到。,,張持,注意、小心。
,無情,薄情。形容不講人情、不留情面的樣子。,,多情,富於情感。
,焦涸涸,乾涸。形容非常的乾。,,澹漉漉,溼淋淋、溼答答。形容含水量很高的樣子。
,焦涸涸,乾涸。形容非常的乾。,,澹糊糊,溼淋淋、溼答答。形容含水量很高的樣子。
,無細膩,不小心。,,刁工,故意。
,無細膩,不小心。,,刁持,故意、存心。
,無細膩,不小心。,,刁故意,存心、故意。
,無細膩,不小心。,,刁意故,故意、存心。
,無細膩,不小心。,,小心,注意、留意。
,無細膩,不小心。,,注意,小心、留意。
,無細膩,不小心。,,細膩,做事小心謹慎。
,無細膩,不小心。,,謹慎,對自己的言行或外界事務格外小心仔細，以避免有不利或不幸的事情發生。
,無細膩,不客氣。,,細膩,客氣。
,無通,不可行、不妥切。,,有通,行得通、可行的。
,無量,小氣。沒有度量，吝嗇，不大方。,,好量,指人有雅量，氣度寬大。
,無量,小氣。沒有度量，吝嗇，不大方。,,有量,寬宏大量。指一個人的度量十分寬大。
,無閒,沒空、忙碌。,,有閒,有空。有空閒、餘暇。
,無愛,不要。,,欲,要、想，表示意願。
,無意中,意外、無意間。,,刁故意,存心、故意。
,無路用,沒有用、不中用。,,中用,物品很好使用，容易使用。
,無路用,沒有用、不中用。,,中用,形容人很有能力、很好差遣。
,無路來,沒有辦法，不知道該如何去做、去說。,,有路來,有辦法、做得來。
,無影,不真實的，沒有的事。,,有影,真實不虛的。
,焦燥,乾燥。缺乏水分的。,,澹,溼。
,焦燥,乾燥。缺乏水分的。,,溼,含有微量水分而覺得潮溼不乾爽。
,無膽,膽小。形容人膽子小、膽量不大。,,在膽,膽子大、不畏怯。
,無禮,形容人不懂禮數。,,厚禮數,多禮。禮數周到。
,無攬無拈,無精打采、沒精神，提不起勁的樣子。,,綿精,鍥而不捨、汲汲營營。為達目的，想盡辦法，堅持到底，有時甚至到糾纏不休惹人厭的程度。
,短,事物之間的距離小，與長相對。,,長,形容時間的久遠。
,短,事物之間的距離小，與長相對。,,長,形容物體或空間兩端的距離較大、較遠。
,短,引申為不夠、少、小、缺失等。,,長,形容物體或空間兩端的距離較大、較遠。
,短,引申為不夠、少、小、缺失等。,,濟,多。
,短䘼,短袖。長度不超過上臂的袖子。,,長䘼,長袖。
,短命,以詛咒人壽命不長、早死來罵人。,,長命,長壽、高壽。
,短命,以詛咒人壽命不長、早死來罵人。,,長歲壽,長壽、長命、高壽。
,短命,以詛咒人壽命不長、早死來罵人。,,長壽,長命、高壽。壽命很長。
,硬迸迸,硬邦邦。形容物品堅硬，或辦事態度強硬、死板。,,軟㽎㽎,軟綿綿。柔軟而且富有彈性。
,短歲壽,短命。壽命不長、早夭。,,長命,長壽、高壽。
,短歲壽,短命。壽命不長、早夭。,,長歲壽,長壽、長命、高壽。
,短歲壽,短命。壽命不長、早夭。,,長壽,長命、高壽。壽命很長。
,絚,緊。嚴密，不放鬆。,,冗,鬆、寬。形容東西、事物不緊或寬鬆的樣子。
,絚,形容生活困窘，不寬裕。,,冗,形容金錢方面的寬裕。
,結合,彼此相聯合。通常用來指男女雙方聯姻。,,離婚,離異。夫妻依照法定手續解除婚姻關係。
,結合,彼此相聯合。通常用來指男女雙方聯姻。,,離緣,離婚。夫婦依照法定手續解除婚姻關係。
,結果,事物的最後結局或歸宿。,,起因,原因。事情發生的根本原因。
,絕路,死路，走不通的路。,,生路,可逃生、活命的路徑或方法。
,絕路,死路，走不通的路。,,活路,生路。
,結實,堅固、紮實。,,爛朽朽,破破爛爛。
,答應,允許、承諾。,,毋准,不允許、不答應。
,答應,允許、承諾。,,反對,不贊成。
,答應,允許、承諾。,,回,謝絕、辭去。
,答應,允許、承諾。,,拒絕,拒退斷絕，不接受。
,答應,允許、承諾。,,推辭,拒絕、推辭。
,著,對。,,毋著,不對。
,虛,不實的、假的。,,真,純正、不虛假的。
,虛,不實的、假的。,,實,真的。
,著時,當季、符合節令。,,退時,過時。過了盛產期或興盛期。
,貴,東西價錢很高。,,便宜,價格低廉。
,貴,東西價錢很高。,,俗,便宜。
,貴,令人尊崇的。,,賤,地位卑下的。
,貶,批評。,,褒,稱讚、恭維。
,買,使用金錢購物。,,賣,出售貨品、財物或勞力以換取金錢。
,買,使用金錢購物。,,賣,出售貨品、財物或勞力以換取金錢。
,貴參參,非常昂貴的。,,俗,便宜。
,貴參參,非常昂貴的。,,粗俗,粗糙通俗、便宜的。
,超過,過分。超越適當的分量。,,節制,限制不使過度。
,超過,過分。超越適當的分量。,,撙節,節制。
,趁錢,賺錢。,,了錢,賠錢、虧本。
,趁錢,賺錢。,,賠錢,賠償金錢。
,進,向前移動。,,退,背向後方行走。
,進口,入口、輸入。外國或外地的東西輸入、賣到本地。,,出口,將本國貨物販售運送至國外。
,鄉村,農村、鄉下。鄉下的村落。,,城市,都市。人口集中，工商業發達，居民多為外來人口，通常是周圍地區的經濟、政治、文化及流行中心。
,鄉村,農村、鄉下。鄉下的村落。,,都市,人口密度較高、工商交通發達的地區。
,進步,逐漸好轉。,,退步,落後。從較優良的狀況變成較低劣的狀況。
,進步,逐漸好轉。,,落伍,原意是指行動緩慢，跟不上隊伍。後來常用來比喻事物、行為、思想等跟不上時代潮流。
,進前,以前、從前。,,後來,指一段時間之後。
,進前,以前、從前。,,落尾,後來、最後。
,進前,以前、從前。,,後日仔,日後、以後、將來。未來的日子。
,進前,之前。,,押尾,最後。
,進前,向前、前進。,,倒退,倒退。往後退。
,進前,向前、前進。,,退後,後退。向後移動。
,鈍,刀不利。,,利,形容器物或五官的能力很尖銳。
,鈍,笨拙緩慢。,,扭掠,形容手腳快、動作敏捷。
,鈍,笨拙緩慢。,,猛,行動迅速。
,開,啟、打開。,,關,閉。
,陽,日、太陽。引申為表示正、人間、雄性等與「陰」相對的概念。,,陰,表示夜晚、月亮、幽冥界等等與「陽」相對的事物。
,閒仙仙,形容人閒著沒事幹。,,無閒𩑾𩑾,忙得不可開交、忙碌不堪、非常忙碌。
,閒仙仙,形容人閒著沒事幹。,,無時閒,忙碌。一刻都閒不下來，指人很忙碌，無一刻停歇。
,開盤,股票或金融市場開始買賣運作。,,收盤,證券交易所或各行業公會結束交易。
,開墾,開闢未經開發過的荒地。,,臭生荒,荒置、廢棄任其荒涼。
,陽曆,陽曆。根據地球繞太陽公轉的周期所制定的曆法，又稱為「太陽曆」。,,陰曆,陰曆。根據月球繞地球公轉的周期所制定的曆法，又稱為「太陰曆」。如回教世界通行的回曆，一年有三百五十四或三百五十五天。漢族傳統的農曆則屬於「陰陽合曆」。
,陽曆,陽曆。根據地球繞太陽公轉的周期所制定的曆法，又稱為「太陽曆」。,,咱人,指農曆。可以說是「咱人的曆日」(lán-lâng ê la̍h-ji̍t)的簡略說法，是臺灣人原本使用的傳統曆法，相對於日治時代日本人引進的新式曆法。
,集中,集合、匯聚在一起。,,分開,分離、分散。
,集中,集合、匯聚在一起。,,四散,向四周分散。
,集中,集合、匯聚在一起。,,解散,叫集合的人分散開。
,集合,會合、聚在一起。,,分開,分離、分散。
,集合,會合、聚在一起。,,四散,向四周分散。
,集合,會合、聚在一起。,,解散,叫集合的人分散開。
,順風,順著風勢。,,對頭風,迎面而來的逆風。
,順風,順著風勢。,,㧣風,逆風前進。
,雅氣,氣質文雅、高尚。,,粗魯,粗暴魯莽。
,順從,遵從、依從。,,反抗,心中不服而予以抗拒。
,順從,遵從、依從。,,違反,違背。
,順從,遵從、依從。,,觸,違逆、辜負。違逆別人的想法或辜負他人。
,頇顢,形容人愚笨、遲鈍、笨拙、沒有才能。,,巧神,伶俐、靈巧，機靈可愛的樣子。
,頇顢,形容人愚笨、遲鈍、笨拙、沒有才能。,,巧氣,聰穎、靈巧。
,勥,形容人精明能幹、能力很行、很強的樣子。多用於形容女性，現今表示有點過分的能幹。,,見天,迷糊、漫不經心。
,勥跤,形容一個人精明能幹，一般用在形容女人，有貶義。,,低路,低能。指不中用。
,園,指園地、旱地。,,田,可供耕作或作資源開發的土地。「田」裡有水，「田」是指「水田」，「園」是指「旱田」。
,嫁,女子結婚。,,娶,男子帶女子入門成親。
,嫁娶,男婚女嫁之事。結婚。,,離婚,離異。夫妻依照法定手續解除婚姻關係。
,嫁娶,男婚女嫁之事。結婚。,,離緣,離婚。夫婦依照法定手續解除婚姻關係。
,慎重,形容人在行為處事的時候小心謹慎、沉穩莊重。,,懂嚇,冒失、莽撞。
,損,減少。,,添,加、增、補。
,搝,拉扯。,,捒,推。
,新,沒有使用過的。與「舊」(kū)相對。,,舊,用很久的、老的、以前的。與「新」(sin)相對。
,新曆,本國採用之世界通行新曆法，屬「陽曆」的一種，以別於漢族傳統通行的「舊曆」。,,舊曆,農曆。漢族傳統通行的曆法，屬「陰陽合曆」的一種。大月三十天，小月二十九天；平年一年十二個月，閏年十三個月。
,新曆,本國採用之世界通行新曆法，屬「陽曆」的一種，以別於漢族傳統通行的「舊曆」。,,咱人,指農曆。可以說是「咱人的曆日」(lán-lâng ê la̍h-ji̍t)的簡略說法，是臺灣人原本使用的傳統曆法，相對於日治時代日本人引進的新式曆法。
,搖頭,頭向左右擺動，通常用來表示拒絕、否定、阻止或不以為然的意思。,,頕頭,點頭。頭上下微動，以表示允諾、贊許、領會等意思。
,摃龜,希望落空或是彩頭沒中。源自日語。,,著獎,中獎。因彩券、獎券或統一發票等對中號碼，而獲得獎品或獎金。
,摃龜,希望落空或是彩頭沒中。源自日語。,,著等,入選；得名、獲得名次。
,摃龜,希望落空或是彩頭沒中。源自日語。,,著等,得獎。獲得獎賞。
,會用得,可以、可行。人、東西可以使用或指事情行得通。語氣完結時唸作ē-īng--tit。,,袂用得,不可以。語氣完結時唸作bē-īng--tit。
,會用得,可以、可行。人、東西可以使用或指事情行得通。語氣完結時唸作ē-īng--tit。,,袂使得,不可以、使不得。語氣完結時唸作bē-sái--tit。
,會用得,可以、可行。人、東西可以使用或指事情行得通。語氣完結時唸作ē-īng--tit。,,袂做得,不可以做、行不通。
,會合,照約定好的時間及地點彼此聚會、集合。,,分開,分離、分散。
,會合,照約定好的時間及地點彼此聚會、集合。,,四散,向四周分散。
,會合,照約定好的時間及地點彼此聚會、集合。,,解散,叫集合的人分散開。
,暗色,較濃或深沉的顏色。,,笑色,淺色。
,會使,可以、能夠。,,袂使,不可以、使不得。
,會使,可以、能夠。,,袂使得,不可以、使不得。語氣完結時唸作bē-sái--tit。
,會使得,可以、可行。人、東西可以使用或是事情行得通。語氣完結時唸作ē-sái--tit。,,袂用得,不可以。語氣完結時唸作bē-īng--tit。
,會使得,可以、可行。人、東西可以使用或是事情行得通。語氣完結時唸作ē-sái--tit。,,袂使得,不可以、使不得。語氣完結時唸作bē-sái--tit。
,會使得,可以、可行。人、東西可以使用或是事情行得通。語氣完結時唸作ē-sái--tit。,,袂做得,不可以做、行不通。
,暗時,夜晚、晚上。,,當頭白日,大白天。特別強調說話的當時為白天。
,暗眠摸,黑漆漆、一片漆黑。形容很黑很暗，什麼都看不到。,,光映映,形容非常光亮的樣子。
,暗眠摸,黑漆漆、一片漆黑。形容很黑很暗，什麼都看不到。,,光炎炎,形容光亮耀眼、輝煌奪目的樣子。
,會做得,可以、可行。可以做、行得通。語氣完結時唸作ē-tsò--tit。,,袂用得,不可以。語氣完結時唸作bē-īng--tit。
,會做得,可以、可行。可以做、行得通。語氣完結時唸作ē-tsò--tit。,,袂使得,不可以、使不得。語氣完結時唸作bē-sái--tit。
,會做得,可以、可行。可以做、行得通。語氣完結時唸作ē-tsò--tit。,,袂做得,不可以做、行不通。
,會得,能夠、可以。,,袂使,不可以、使不得。
,會得,能夠、可以。,,袂使得,不可以、使不得。語氣完結時唸作bē-sái--tit。
,會得,能夠、可以。,,袂當,不行、不能夠。
,會得,能夠、可以。,,袂得,不得、不能、無法。因為外在因素所限，而不能做某事。
,會得通,可以、得以、能夠。,,袂使,不可以、使不得。
,會得通,可以、得以、能夠。,,袂使得,不可以、使不得。語氣完結時唸作bē-sái--tit。
,會得通,可以、得以、能夠。,,袂得通,因某種原因造成無法從事某種活動。
,會得通,可以、得以、能夠。,,袂當,不行、不能夠。
,暗淡,不鮮豔、不明亮。,,光明,比喻希望。
,會當,可以。能夠、做得到。,,袂使,不可以、使不得。
,會當,可以。能夠、做得到。,,袂使得,不可以、使不得。語氣完結時唸作bē-sái--tit。
,會當,可以。能夠、做得到。,,袂當,不行、不能夠。
,暗漠漠,黑漆漆。形容非常黑暗的樣子，完全看不見。,,光映映,形容非常光亮的樣子。
,暗漠漠,黑漆漆。形容非常黑暗的樣子，完全看不見。,,光炎炎,形容光亮耀眼、輝煌奪目的樣子。
,暗趖趖,黑漆漆。形容漆黑一片。,,光映映,形容非常光亮的樣子。
,暗趖趖,黑漆漆。形容漆黑一片。,,光炎炎,形容光亮耀眼、輝煌奪目的樣子。
,會曉,知道、懂得。有能力去做某件事。,,袂曉,不會、不懂。
,會頭,會首。現多指民間儲蓄互助會的發起人。,,會跤,參加民間儲蓄互助會的一般會員，相對於發起人「會頭」(huē-thâu)而言。
,歇冬,放寒假。,,歇熱,放暑假。
,溫柔,溫和柔順。,,野性,性情不溫馴，不受束縛。
,準時,按照規定的時間。,,慢分,誤點。通常指班機、班車遲到。
,歇寒,放寒假。,,暑假,各級學校因為夏天暑熱而放假，時間通常是在七月、八月。
,歇寒,放寒假。,,歇熱,放暑假。
,溫暖,暖和。,,烏寒,陰天又寒冷的。
,歁歁,呆呆笨笨的。,,巧神,伶俐、靈巧，機靈可愛的樣子。
,歁歁,呆呆笨笨的。,,巧氣,聰穎、靈巧。
,溫馴,溫順、溫和。溫和馴良、平和不粗野。,,野性,性情不溫馴，不受束縛。
,溫馴,溫順、溫和。溫和馴良、平和不粗野。,,挐頭,小孩子無理取鬧的樣子。
,歇熱,放暑假。,,歇冬,放寒假。
,歇熱,放暑假。,,歇寒,放寒假。
,煞尾,末尾、最後。,,自頭,從頭。自起初開始。
,煞尾,末尾、最後。,,起基,當初。
,煞鼓,劇終。戲劇終了。用以引申事情或活動結束。,,起鼓,開鑼、上戲、揭開序幕，傳統戲劇要上演時會先由樂師打鼓準備上戲。
,煞戲,劇終。戲劇終了。引申為一切事物的結束。,,起鼓,開鑼、上戲、揭開序幕，傳統戲劇要上演時會先由樂師打鼓準備上戲。
,照步來,按部就班。照一定的條理順序處理事情。,,偷食步,作弊、投機取巧。利用時機、不守規定、不按部就班而獲取利益。
,照起工,按部就班，照規矩制度來行事。,,偷食步,作弊、投機取巧。利用時機、不守規定、不按部就班而獲取利益。
,照顧,照料、看顧、幫助。,,欺負,欺悔、欺凌。
,矮,短小、不高。,,躼,形容人長得高。
,當頭白日,大白天。特別強調說話的當時為白天。,,暗時,夜晚、晚上。
,碗公,比一般飯碗還要大的碗。,,碗頭仔,小碗。
,碗頭仔,小碗。,,碗公,比一般飯碗還要大的碗。
,節制,限制不使過度。,,超過,過分。超越適當的分量。
,節制,限制不使過度。,,過頭,過度、過分。超越適當的限度。
,節省,節約。,,浪費,沒有節制、無益的耗費。
,節省,節約。,,討債,浪費、蹧蹋。沒有節制、無益的耗費。
,節儉,節省儉用。,,浪費,沒有節制、無益的耗費。
,節儉,節省儉用。,,討債,浪費、蹧蹋。沒有節制、無益的耗費。
,落䈄,竹子或甘蔗等的節距較長。,,實䈄,竹子或甘蔗的節與節之間的距離較短。
,落去,下去。從上面到下面，發話者不在下面，語氣完結時唸作lo̍h--khì。,,起來,上來。由下往上、由低處往高處。
,落伍,原意是指行動緩慢，跟不上隊伍。後來常用來比喻事物、行為、思想等跟不上時代潮流。,,時行,流行、時髦。
,落伍,原意是指行動緩慢，跟不上隊伍。後來常用來比喻事物、行為、思想等跟不上時代潮流。,,進步,逐漸好轉。
,落尾,後來、最後。,,代先,事先、預先。
,落尾,後來、最後。,,自頭,從頭。自起初開始。
,落尾,後來、最後。,,起頭,起初、開頭。
,落尾,後來、最後。,,進前,以前、從前。
,落尾,後來、最後。,,頭先,起初、起先。在時間或事情流程上比較早的。
,落尾,後來、最後。,,頭起先,起初、剛開始。
,落尾,後來、最後。,,寢頭,起初、起先。剛開始的時候。
,落尾,後來、最後。,,起基,當初。
,落尾手,後來、最後。,,起頭,起初、開頭。
,落尾手,後來、最後。,,頭先,起初、起先。在時間或事情流程上比較早的。
,落尾手,後來、最後。,,頭起先,起初、剛開始。
,落尾手,後來、最後。,,寢頭,起初、起先。剛開始的時候。
,落尾手,後來、最後。,,起基,當初。
,落來,在什麼以下，其次。,,起去,以前，時間回溯到過去、過往。
,落來,在什麼以下，其次。,,起去,以上。
,落雨天,雨天。,,大晡日,出大太陽的好天氣。
,落南,南下。到南方、向南方行進。,,上北,北上。臺灣地理的觀念上，以北為上，南為下，所以向北出發即是「上北」。
,落屎,拉肚子、腹瀉。,,祕結,便秘。病名。一種消化性疾病的名稱，因糞便在大腸停留的時間過長，使得大量乾硬的糞便堆積在降結腸，造成大便不暢通。
,落眠,熟睡、沉睡。,,失眠,夜晚不能自然入睡。
,落眠,熟睡、沉睡。,,無眠,睡眠不足。
,落衰,走背運、走霉運。,,出運,運氣由壞轉好。
,落衰,走背運、走霉運。,,好運,運氣好。
,落衰,走背運、走霉運。,,轉氣,手氣變好。
,落崎,下坡。,,上崎,上坡。
,落軟,軟化、緩和。強硬或倔強的態度變緩和。,,強硬,態度堅決，不肯退讓。
,落價,降價、減價。,,起價,漲價。物價上揚。
,落魄,失意潦倒的樣子。,,囂俳,囂張。形容人的行為舉止放肆傲慢。
,解酒,醒酒。消解酒醉的狀態。,,酒醉,喝酒過量因而神志不清。
,解散,叫集合的人分散開。,,集中,集合、匯聚在一起。
,解散,叫集合的人分散開。,,集合,會合、聚在一起。
,解散,叫集合的人分散開。,,會合,照約定好的時間及地點彼此聚會、集合。
,賊仔,小偷、竊賊。,,警察,依法維持公共秩序，保護社會安寧的治安人員。
,跤仔,嘍囉、部下。小角色、跑腿的。,,頭兄,首腦人物。
,遐,那、那裡。,,遮,這、這裡。
,道士,民間一般分烏頭道士及紅頭道士。烏頭道士頭包烏網巾，戴道冠，穿道袍，腳穿普通鞋及朝鞋；而紅頭道士則頭包紅巾戴額帽，身穿普通衣，腰圍白裙，腳則赤足。一般紅頭道士是度生的，即為活人驅邪押煞、禳星補運；而烏頭道士除了度生外，也兼度死，為死人做功德超度亡魂。,,先生媽,巫婆。稱呼道教中從事各種儀式、代人祈禱、求鬼神賜福、解決問題的女性。
,違反,違背。,,順從,遵從、依從。
,較早,以往、以前。,,後日仔,日後、以後、將來。未來的日子。
,農村,農民聚居的村落。,,城市,都市。人口集中，工商業發達，居民多為外來人口，通常是周圍地區的經濟、政治、文化及流行中心。
,過時,退流行，不合時宜。,,流行,時興。盛行於當時。
,過時,退流行，不合時宜。,,時行,流行、時髦。
,過氣,斷氣。死亡。,,活,生存。
,遐爾仔,那麼。,,遮爾仔,這麼、這般。
,過頭,過度、過分。超越適當的限度。,,站節,分寸。
,過頭,過度、過分。超越適當的限度。,,節制,限制不使過度。
,過頭,過度、過分。超越適當的限度。,,撙節,節制。
,過謙,過於謙虛。,,聳勢,威風，有時略帶貶義。
,零星,零數、零碎、零錢。,,大張的,特指大鈔。指千元以上，大面額大的鈔票。
,實,裝滿、塞滿的樣子。,,櫳,稀疏的。
,實,真的。,,假,不真實的、虛偽的。
,實,真的。,,虛,不實的、假的。
,實腹,內部紮實不空心的。,,空殼,空心不實的。
,實腹,內部紮實不空心的。,,冇心,質地鬆散不結實。
,慢,速度遲緩。,,緊,快、迅速。
,慢車,速度比較慢或停站次數較多的火車。,,快車,加快行駛速度或是減少停靠站以節省行車時程的火車或公共汽車。
,慢性,性情不急躁。,,急性,性情急躁。
,慢性,時間長的、耐久的。,,急性,變化急劇的。
