義項id,詞目漢字,解說,對應義項id,對應詞目漢字,對應解說
,前世人,前世、上輩子。,,後出世,下輩子、來世、來生。
,後過,下次。將來。,,頂過,上次。
,後過,下次。將來。,,頂幫,上次，前一次。
,後過,下次。將來。,,頂擺,上次、前回。
,後過,下次。將來。,,以早,以前、從前。
,後過,下次。將來。,,頂改,上次、上回。
,後過,下次。將來。,,頂回,上次、以前、之前的事情。
,袂赴市,時間短暫，無法趕上或顧及。,,會赴市,趕得上巿場交易的時間或時機。
,袂得,不得、不能、無法。因為外在因素所限，而不能做某事。,,會得,能夠、可以。
,高長,高大、大塊頭。,,矮頓,矮壯。身材矮壯。
,接神,迎接神佛。,,送神,祭灶神。一種民間習俗。舊俗農曆十二月廿三或廿四日，灶神會到天庭陳報人間善惡，民間則於此時藉祭祀送灶神上天。
,晚冬,二期稻作。,,六月冬,夏稻、夏穫。夏季收穫的農作物、第一期稻作所收成的農作物。
,晚冬,二期稻作。,,早冬,臺灣的稻作一年兩收，「早冬」即第一期的稻作。
,淺緣,緣份淺。,,深緣,形容一個人具有讓人越熟識就越喜愛的特質，雖然一開始可能不討喜。
,猛掠,（動作）敏捷。,,慢手,慢吞吞、動作遲緩。
,猛掠,（動作）敏捷。,,慢鈍,遲鈍、慢吞吞。
,猛掠,（動作）敏捷。,,粗跤重蹄,笨手笨腳。
,猛掠,（動作）敏捷。,,鈍跤鈍手,笨手笨腳。形容動作或手腳不靈活。
,短站,短程。,,長途,遙遠的路程。
,搶市,暢銷、搶手。,,敗市,滯銷。貨品不易銷售，導致價格慘跌。
,會記得,記得。,,袂記得,忘記、遺忘。語氣完結時唸作bē-kì--tit。
,落台,下臺。比喻離開或被解除高階職務。,,上任,就職。擔任職務。
,路尾,後來、最後。,,原本,本來、原先。
,路尾,後來、最後。,,寢頭,起初、起先。剛開始的時候。
,實䈄,竹子或甘蔗的節與節之間的距離較短。,,落䈄,竹子或甘蔗等的節距較長。
,算會和,划算、划得來。,,袂和,划不來、不划算。
,算會和,划算、划得來。,,算袂和,划不來。不合算、不值得。
,䆀空,見【歹空】pháinn-khang 條。,,好空,好機會、好事情。
,䆀空,見【歹空】pháinn-khang 條。,,利益,好處。
,䆀空,見【歹空】pháinn-khang 條。,,利頭,利益、好處。
,舊漚舊臭,老舊破爛。,,新嫣,具有初始的光澤，如新布或其它新物品。
,懶性,懶散。拖拖拉拉的性情，做事不積極。,,扭掠,形容手腳快、動作敏捷。
,鹹水魚,生長在海裡的魚類。如帶魚、黃魚、鱈魚、沙丁魚等。,,汫水魚,淡水魚。
,七晏八晏,很晚、很遲。,,七早八早,形容時間還早。
,人懸漢大,大塊頭。形容人的身材高大。,,細粒子,形容身材嬌小。
,上尾,最後。,,第一,最先、最前、最好、最重要地，表示極高的程度。
,上無,至少、起碼。,,上濟,至多、頂多。指在最壞的情況下。
,上無,至少、起碼。,,極加,最多、頂多。用來說明數量上、程度上等頂多如何。
,大出手,出手大方、大手筆。,,㾀屎,器量狹小，用度過分節儉。吝嗇，不大方。
,大百,大鈔。大面額的鈔票。,,散票,零鈔、小鈔。小額的紙幣，不包含硬幣。
,大張的,特指大鈔。指千元以上，大面額大的鈔票。,,小票,零鈔。小面額的紙幣。
,大張的,特指大鈔。指千元以上，大面額大的鈔票。,,散票,零鈔、小鈔。小額的紙幣，不包含硬幣。
,大張的,特指大鈔。指千元以上，大面額大的鈔票。,,零星,零數、零碎、零錢。
,大細腎,連襟。稱謂。姊妹的丈夫彼此互稱。,,同姒仔,妯娌。稱謂。兄弟的妻子彼此互稱。
,大漢囝,長子、長男。,,尾仔囝,么兒。排行最小的兒子。
,大漢囝,長子、長男。,,屘仔,老么。稱謂。家中排行最小的孩子。
,大漢囝,長子、長男。,,屘囝,家中排行最小的孩子。
,天公地道,天地間原本如此而不容改變的道理。非常公平公道。,,無天理,沒有天理。通常用在感嘆人事不公。
,少年人,年輕人。,,老大人,老人家。高齡的長者。
,少年人,年輕人。,,老公仔,老人、老翁。
,少年人,年輕人。,,老歲仔,指稱年長者的說法，通常帶有輕蔑的意味。
,少歲,年輕。,,有歲,上了年紀。
,少歲,年輕。,,老相,老態。像老人的相貌。
,歹日,凶日。在黃曆上有諸多禁忌的日子。,,大日,吉日。指適合婚喪嫁娶的好日子。
,歹日,凶日。在黃曆上有諸多禁忌的日子。,,吉日,好日子。
,歹日,凶日。在黃曆上有諸多禁忌的日子。,,好日,好日子、吉日 。
,歹吉兆,凶兆。壞的預兆。,,好彩頭,好預兆。
,歹面相看,惡臉相向。,,你兄我弟,稱兄道弟。特指拉幫結派，想仗勢欺人。
,歹價,賤價。價錢不好。就賣方的立場來說。,,好價,好價格。
,毋成囡仔,不良少年、小混混。,,好囝,潔身自愛，積極進取的孩子。
,牛聲馬喉,大聲吆喝。,,輕聲細說,輕聲細語。指說話聲音細小。
,外埠頭,外地、外鄉鎮。,,本地,居住在某地區的人自稱該地為「本地」。
,平洋,平原、平地。平坦廣闊的原野。,,山坪,山坡地。山凹間或山麓上較平坦的地或可耕地。
,正範,真品、真貨。也指正牌，正規，名副其實的身份。,,假包,冒牌貨、贗品。
,正範,真品、真貨。也指正牌，正規，名副其實的身份。,,仿仔,贗品、仿冒品。仿製的東西。
,在膽,膽子大、不畏怯。,,無膽,膽小。形容人膽子小、膽量不大。
,好日,好日子、吉日 。,,歹日,凶日。在黃曆上有諸多禁忌的日子。
,好代,好事、善行事。,,歹代,壞事、惡事。
,好代,好消息。,,歹代,壞事、壞消息。
,死殗殗,死氣沉沉、要死不活。,,活跳跳,活蹦亂跳、活力充沛的樣子。
,冷嗽,因風寒引起的咳嗽，患者的痰多是白色而且稀薄，流出鼻涕也如清水。,,熱嗽,熱咳。一般人認為咳嗽無痰即為熱咳。通常熱咳者會口乾、喉癢、痰少，但痰黃且濃稠，嚴重時還會呈現黃綠色。
,妝娗,化妝、打扮。,,落妝,卸妝。洗除臉上的化妝。
,尾來,到最後、結果。,,起頭,起初、開頭。
,尾來,到最後、結果。,,頭先,起初、起先。在時間或事情流程上比較早的。
,汫水魚,淡水魚。,,鹹水魚,生長在海裡的魚類。如帶魚、黃魚、鱈魚、沙丁魚等。
,罕罕仔,偶爾、難得、久久一次。,,不三時,時常、常常。
,到尾,到最後。,,起頭,起初、開頭。
,到尾,到最後。,,頭仔,最初。最早的時期、剛開始的時候。
,到尾,到最後。,,頭先,起初、起先。在時間或事情流程上比較早的。
,孤佬,孤僻。,,慷交,慷慨好客，交遊廣闊。
,彼當陣,那時、那陣子。常合音為「向陣」hiàng-tsūn。,,現此時,現在、目前。
,抽懸,抽高。人在發育期明顯長高。,,倒勼,衣物變短或身高變矮。
,𨑨迌印仔,一般的印章。不是做為證明、有法律效用的印鑑。,,印鑑,為防假冒，登存於有關機關，以備核對鑑證的圖章印樣，多用於房屋及土地等不動產之登錄及變更。
,咱人,指農曆。可以說是「咱人的曆日」(lán-lâng ê la̍h-ji̍t)的簡略說法，是臺灣人原本使用的傳統曆法，相對於日治時代日本人引進的新式曆法。,,陽曆,陽曆。根據地球繞太陽公轉的周期所制定的曆法，又稱為「太陽曆」。
,咱人,指農曆。可以說是「咱人的曆日」(lán-lâng ê la̍h-ji̍t)的簡略說法，是臺灣人原本使用的傳統曆法，相對於日治時代日本人引進的新式曆法。,,新曆,本國採用之世界通行新曆法，屬「陽曆」的一種，以別於漢族傳統通行的「舊曆」。
,後謝,尾款。受託人完成任務後，委託人支付的酬勞、尾款。,,定金,訂金。訂購物品時所預付的部分金額。
,後謝,尾款。受託人完成任務後，委託人支付的酬勞、尾款。,,定銀,訂金。訂購物品時所預付的部分金額。
,後謝,尾款。受託人完成任務後，委託人支付的酬勞、尾款。,,前金,訂金。預付商品或勞務報酬的部分金額。
,後謝,尾款。受託人完成任務後，委託人支付的酬勞、尾款。,,前謝,預付的報酬金。
,看袂上目,看不上眼、輕視。,,看重,重視、著重。
,看袂上目,看不上眼、輕視。,,看會起,看重、看得起；一般視為離合詞。
,看袂上目,看不上眼、輕視。,,重視,注重。特別注意。
,看袂上目,看不上眼、輕視。,,尊敬,敬重、尊崇。
,背骨,生性容易反叛的。,,死忠,形容人很忠心，至死不變。
,苦齣,悲劇、苦情戲。,,喜劇,有圓滿結局的戲劇或是用誇張手法引人發笑的戲劇。
,苦齣,悲劇、苦情戲。,,笑詼齣,喜劇、爆笑劇。以取悅觀眾為主要目的的戲劇。
,倒轉去,回去、返家。,,出外,離家遠行到外地去。
,笑詼齣,喜劇、爆笑劇。以取悅觀眾為主要目的的戲劇。,,苦齣,悲劇、苦情戲。
,荏身命,天生體質虛弱，容易生病。,,勇跤,強壯有力。
,袂拄好,不正常、不舒服。指偏離正常出問題。,,好勢,舒服、舒適。
,袂做得,不可以做、行不通。,,會用得,可以、可行。人、東西可以使用或指事情行得通。語氣完結時唸作ē-īng--tit。
,袂做得,不可以做、行不通。,,會使得,可以、可行。人、東西可以使用或是事情行得通。語氣完結時唸作ē-sái--tit。
,袂做得,不可以做、行不通。,,會做得,可以、可行。可以做、行得通。語氣完結時唸作ē-tsò--tit。
,退流,退潮。,,滇流,漲潮。地球上的海洋表面受到太陽和月球的引力（潮汐力）作用引起的海水面上升的現象。
,退流,退潮。,,飽流,漲潮。
,退時,過時。過了盛產期或興盛期。,,著時,當季、符合節令。
,退時,過氣、不再流行、不再受歡迎。,,時行,流行、時髦。
,做水,淹水、鬧水災。,,洘旱,大旱、旱災。長期不雨所造成的嚴重乾旱。
,夠月,胎兒在母體中成長的月分已足。一般為37週。,,無夠月,早產。胎兒在子宮內發育月數不足，便因故出生。
,徛家厝,民宅、住家。,,店面,可直接與來往行人進行交易的商鋪。
,深目,形容眼窩很深。,,吐目,突眼、鼓眼泡。眼球突出。這種外觀特徵除了天生遺傳以外，大多是甲狀腺亢進或腦部、眼部病變引起。
,深緣,形容一個人具有讓人越熟識就越喜愛的特質，雖然一開始可能不討喜。,,淺緣,緣份淺。
,爽歪歪,樂壞了。,,艱苦罪過,非常痛苦難過。
,笨跤笨手,笨手笨腳。,,扭掠,形容手腳快、動作敏捷。
,笨跤笨手,笨手笨腳。,,緊跤緊手,快手快腳。指做事情動作敏捷快速。
,軟市,市場交易不熱絡。,,交易,指生意興隆的樣子。
,喙笑目笑,笑容可掬、眉開眼笑。,,憂頭苦面,愁眉苦臉。眉頭緊皺，苦喪著臉。形容憂傷、愁苦的神色。
,喙笑目笑,笑容可掬、眉開眼笑。,,憂頭結面,愁眉苦臉。形容憂傷、愁苦的神色。
,喙笑目笑,笑容可掬、眉開眼笑。,,欲哭欲𥍉,快哭出來的樣子。
,敨放,解放。解除束縛，使自由發展。,,束縛,拘束、被限制。
,無才,吊兒郎當。言行輕浮，儀態不端。,,恬才,誠實莊重，行事規矩。
,著獎,中獎。因彩券、獎券或統一發票等對中號碼，而獲得獎品或獎金。,,摃龜,希望落空或是彩頭沒中。源自日語。
,覕鬚,收斂、不敢招搖。,,臭屁,形容人喜歡誇大炫耀，自以為是的樣子。
,覕鬚,收斂、不敢招搖。,,聳鬚,引申為囂張、逞威風。
,貿貨底,把貨商賣剩的存貨用低價全部買下來。,,卸貨底,出清存貨。
,韌命,有韌性、生命力強，經得起磨難。,,脆命,短命。生命力弱。
,幌頭,搖頭。,,頕頭,點頭。頭上下微動，以表示允諾、贊許、領會等意思。
,幌頭,引申指不欣賞、不贊同、沒指望等。,,頕頭,點頭。頭上下微動，以表示允諾、贊許、領會等意思。
,會跤,參加民間儲蓄互助會的一般會員，相對於發起人「會頭」(huē-thâu)而言。,,會頭,會首。現多指民間儲蓄互助會的發起人。
,極加,最多、頂多。用來說明數量上、程度上等頂多如何。,,至少,最少、最低限度。
,極加,最多、頂多。用來說明數量上、程度上等頂多如何。,,起碼,至少。
,極加,最多、頂多。用來說明數量上、程度上等頂多如何。,,上無,至少、起碼。
,矮仔冬瓜,矮冬瓜。對矮小的人的謔稱。,,躼跤蠓,高個子。稱身材高的人。
,矮鼓,指身材矮小的意思。,,躼,形容人長得高。
,矮頓,矮壯。身材矮壯。,,高長,高大、大塊頭。
,恩情人,恩人、對自己有恩的人。,,冤仇人,仇人、冤家。
,跳踢,活躍、活潑、起興。,,死趖,動作遲鈍不活潑，做事情慢吞吞。
,寢頭,起初、起先。剛開始的時候。,,後來,指一段時間之後。
,寢頭,起初、起先。剛開始的時候。,,落尾,後來、最後。
,寢頭,起初、起先。剛開始的時候。,,落尾手,後來、最後。
,寢頭,起初、起先。剛開始的時候。,,路尾,後來、最後。
,對頭風,迎面而來的逆風。,,順風,順著風勢。
,綿精,鍥而不捨、汲汲營營。為達目的，想盡辦法，堅持到底，有時甚至到糾纏不休惹人厭的程度。,,無攬無拈,無精打采、沒精神，提不起勁的樣子。
,綿精,鍥而不捨、汲汲營營。為達目的，想盡辦法，堅持到底，有時甚至到糾纏不休惹人厭的程度。,,懶屍,懶惰。
,趖跤趖手,形容動作慢吞吞，拖拖拉拉，反應遲鈍。,,扭掠,形容手腳快、動作敏捷。
,趖跤趖手,形容動作慢吞吞，拖拖拉拉，反應遲鈍。,,緊跤緊手,快手快腳。指做事情動作敏捷快速。
,燒烘烘,溫度很高、很悶熱，或由於炎症、發燒造成的身體熱度很高。,,冷吱吱,冷冰冰。形容非常冷。
,燒唿唿,熱呼呼、熱騰騰。,,冷吱吱,冷冰冰。形容非常冷。
,頭兄,首腦人物。,,跤仔,嘍囉、部下。小角色、跑腿的。
,懸頂,上面、上頭。,,下跤,下面、底下。
,儼硬,硬朗。,,荏身,身體虛弱。
,變無魍,搞不出花樣。,,變竅,通權達變、隨機應變。
,變無魍,搞不出花樣。,,變撚,懂得變通，找到新方法解決問題。
,豔色,顏色豔麗。,,漚色,顏色灰暗。
,大趁錢,發大財、賺大錢。常用來說好話祝福人發大財、賺大錢。,,末趁,低獲利。扣除營運成本後的純益很少。
,無局,無聊、乏味。,,心適興,好玩的、有趣的、產生興趣的、引發興味的。
,無局,無聊、乏味。,,有局,有意思、有趣。
,一時仔,一下子。一段不長的時間。,,規半晡,大半天、老半天，指一天當中的一段長時間。
,入去,進去。從外面進到裡面。,,出來,自內而出。發話者不在裡面。語氣完結時唸作tshut--lâi。
,大的,老大、大哥，對團體領導者的敬稱，通常用於下對上的稱呼語。,,細的,小弟、手下。稱呼團體中位階較低者，是比較俚俗的用法。
,大的,老大、大哥，對團體領導者的敬稱，通常用於下對上的稱呼語。,,細漢的,小弟、手下或供人差遣的人。通常用來稱呼團體中位階較低者。
,大的,大哥，兄長，表示自己的親大哥，或至交兄長，是比較俚俗的用法。,,細的,弟弟，表示自己的親弟弟，或至交兄弟。
,細的,小弟、手下。稱呼團體中位階較低者，是比較俚俗的用法。,,大的,老大、大哥，對團體領導者的敬稱，通常用於下對上的稱呼語。
,細的,弟弟，表示自己的親弟弟，或至交兄弟。,,大的,大哥，兄長，表示自己的親大哥，或至交兄長，是比較俚俗的用法。
,以早,以前、從前。,,以後,日後、以後、爾後 。指晚於某一段時間之後的時間。
,以早,以前、從前。,,後過,下次。將來。
,以早,以前、從前。,,後日仔,日後、以後、將來。未來的日子。
,巧神,伶俐、靈巧，機靈可愛的樣子。,,頇顢,形容人愚笨、遲鈍、笨拙、沒有才能。
,巧神,伶俐、靈巧，機靈可愛的樣子。,,歁歁,呆呆笨笨的。
,好命,命好。即指人的出身好或際遇好。,,歹命,苦命、不幸。命運不好、沒有福份。
,好命,命好。即指人的出身好或際遇好。,,業命,勞碌命。
,無夠,不夠、不到，表示程度上的不足。,,有夠,足夠。
,大細聲,高聲喧鬧、吵鬧。,,細聲,小聲。
,中盤,大量購買商品再轉賣給零售商，賺取差額利潤的商人。,,小賣,零售商。將貨品零星出售給消費者的商人。相反的，「大賣」(tuā-bē)指的就是批發商。
,歹過,生活困苦、不易度過。,,快活,形容生活寬裕的。
,坦斜,斜著。,,四正,四方端正、不偏不倚。
,坦斜,斜著。,,坦直,使成直向。
,花貓貓,形容顏色花樣多得讓人受不了。,,素色,白色、素色、淡雅的顏色。
,挐絞絞,形容很亂。,,整齊,有次序、有條理。
,袂爽,心中感到不舒暢。,,起毛婸,情緒好、心情好。「起毛」是借自日語「気持ち（きもち）」的外來語素，加上表示「爽快」的「婸」。
,袂爽,心中感到不舒暢。,,爽,心中感到痛快舒暢。
,袂爽,心中感到不舒暢。,,樂暢,歡喜、愉快。
,袂爽,心中感到不舒暢。,,歡喜,形容高興、愉快的樣子。
,袂爽,不喜歡、厭惡。,,歡喜,感到高興、愉快或喜歡。
,規半晡,大半天、老半天，指一天當中的一段長時間。,,一目𥍉仔,一瞬間、一眨眼。指很短暫的時間。
,規半晡,大半天、老半天，指一天當中的一段長時間。,,一睏仔,一陣子、一會兒。
,規半晡,大半天、老半天，指一天當中的一段長時間。,,一霎仔久,一瞬間、一下子。形容很短的時間。
,規半晡,大半天、老半天，指一天當中的一段長時間。,,一觸久仔,一會兒、一下子。
,規半晡,大半天、老半天，指一天當中的一段長時間。,,一時仔,一下子。一段不長的時間。
,頂改,上次、上回。,,下擺,下次、下回。
,頂改,上次、上回。,,後擺,下次、下回。
,頂改,上次、上回。,,後過,下次。將來。
,頂改,上次、上回。,,後改,下次、下回。
,斯當時,那時、當時，就在那個時間點。,,現此時,現在、目前。
,斯當時,那時、當時，就在那個時間點。,,這站,這陣子、現在。說話當時的前後一段時間或一個節點。
,斯當時,那時、當時，就在那個時間點。,,這陣,現在。當下這個時刻。
,斯當時,那時、當時，就在那個時間點。,,這馬,現在。
,無閒𩑾𩑾,忙得不可開交、忙碌不堪、非常忙碌。,,有閒,有空。有空閒、餘暇。
,無閒𩑾𩑾,忙得不可開交、忙碌不堪、非常忙碌。,,閒仙仙,形容人閒著沒事幹。
,滇流,漲潮。地球上的海洋表面受到太陽和月球的引力（潮汐力）作用引起的海水面上升的現象。,,洘流,退潮。
,滇流,漲潮。地球上的海洋表面受到太陽和月球的引力（潮汐力）作用引起的海水面上升的現象。,,退流,退潮。
,頭幫車,首班車。當天開出的第一班車。,,尾幫車,末班車。當天開出的最後一班車。
,轉來去,回家。,,出外,離家遠行到外地去。
,轉來去,回家。,,出門,離家外出。
,這號,這一個、這種。,,彼个,那個。
,這號,這一個、這種。,,彼款,那樣。
,這號,這一個、這種。,,彼號,那種。
,合仔趁,本錢等於毛利的生意。未計算營運成本，毛利殖入率為50%的生意。,,末趁,低獲利。扣除營運成本後的純益很少。
,末趁,低獲利。扣除營運成本後的純益很少。,,大趁錢,發大財、賺大錢。常用來說好話祝福人發大財、賺大錢。
,末趁,低獲利。扣除營運成本後的純益很少。,,合仔趁,本錢等於毛利的生意。未計算營運成本，毛利殖入率為50%的生意。
,平棒,公正持平。,,大細心,偏心。指人故意偏袒一方，對某一方存私心。
,平棒,公正持平。,,偏心,偏袒。袒護一方，對某一方存私心。
,四伨,平衡、平均。,,重敧爿,指不平衡、輕重不一或不公平。
,四伨,平衡、平均。,,重頭輕,一邊重，一邊輕，指兩頭的重量不平均。
,擋恬,停下來。,,起行,啟程、出發。
,擋恬,停下來。,,起程,出發、啟程。
,躼跤蠓,高個子。稱身材高的人。,,矮仔冬瓜,矮冬瓜。對矮小的人的謔稱。
,暗摸摸,形容光線不明亮、陰暗漆黑的樣子。,,光映映,形容非常光亮的樣子。
,巧氣,聰穎、靈巧。,,頇顢,形容人愚笨、遲鈍、笨拙、沒有才能。
,巧氣,聰穎、靈巧。,,歁歁,呆呆笨笨的。
,巧氣,聰穎、靈巧。,,戇呆,愚蠢、愚笨。
,巧氣,聰穎、靈巧。,,戇戇,呆傻、呆滯。發愣的樣子。
,成樣,形容人經訓練或材料經處理之後成某規格之才能或樣貌。,,毋成人,不肖之徒。罵人不像樣。
,成樣,形容人經訓練或材料經處理之後成某規格之才能或樣貌。,,毋成樣,不像話、不像樣。
,成樣,形容人經訓練或材料經處理之後成某規格之才能或樣貌。,,毋是款,不像話。不懂禮教，多指吃東西的習慣或行為不好。
,成樣,形容人經訓練或材料經處理之後成某規格之才能或樣貌。,,無臭無潲,責人不像樣。罵人的粗鄙用語。
,勇壯,身體強壯。,,荏身,身體虛弱。
,勇壯,身體強壯。,,軟弱,體質虛弱沒力氣。
,勇壯,身體強壯。,,虛荏,身體虛弱。
,健欉,指以棵做單位的樹木、花果、蔬菜等植物長得枝繁葉茂。,,焦蔫,植物因缺少水分或營養而枯萎。
,健欉,指以棵做單位的樹木、花果、蔬菜等植物長得枝繁葉茂。,,枯焦,枯乾。
,業命,勞碌命。,,食命,靠命運好而坐享清福。
,業命,勞碌命。,,好命,命好。即指人的出身好或際遇好。
,孤毛,孤獨、孤僻、不喜歡與他人分享。,,慷交,慷慨好客，交遊廣闊。
,在室男,處男。尚未結婚的男性。,,在室女,處女、閨女。未出嫁的女子。
,變撚,懂得變通，找到新方法解決問題。,,死板,古板、刻板。僵化不知變通。
,變撚,懂得變通，找到新方法解決問題。,,固執,形容堅持自己的意見，不肯變通。
,變撚,懂得變通，找到新方法解決問題。,,變無魍,搞不出花樣。
,規山坪,滿山遍野。,,無半絲,全無。一點兒也沒有，是加重語氣的用法。
,規山坪,滿山遍野。,,無半項,一樣東西都沒有。引申指人一無所知、一無是處、無能的樣子。
,規山坪,比喻到處都是。,,無半絲,全無。一點兒也沒有，是加重語氣的用法。
,規山坪,比喻到處都是。,,無半項,一樣東西都沒有。引申指人一無所知、一無是處、無能的樣子。
,光映映,形容非常光亮的樣子。,,烏趖趖,烏黑。形容很黑。
,光映映,形容非常光亮的樣子。,,暗眠摸,黑漆漆、一片漆黑。形容很黑很暗，什麼都看不到。
,光映映,形容非常光亮的樣子。,,暗漠漠,黑漆漆。形容非常黑暗的樣子，完全看不見。
,光映映,形容非常光亮的樣子。,,暗趖趖,黑漆漆。形容漆黑一片。
,光映映,形容非常光亮的樣子。,,暗摸摸,形容光線不明亮、陰暗漆黑的樣子。
,光映映,形容非常光亮的樣子。,,暗殕,灰暗無光的。
,光炎炎,形容光亮耀眼、輝煌奪目的樣子。,,烏趖趖,烏黑。形容很黑。
,光炎炎,形容光亮耀眼、輝煌奪目的樣子。,,暗眠摸,黑漆漆、一片漆黑。形容很黑很暗，什麼都看不到。
,光炎炎,形容光亮耀眼、輝煌奪目的樣子。,,暗漠漠,黑漆漆。形容非常黑暗的樣子，完全看不見。
,光炎炎,形容光亮耀眼、輝煌奪目的樣子。,,暗趖趖,黑漆漆。形容漆黑一片。
,光炎炎,形容光亮耀眼、輝煌奪目的樣子。,,暗殕,灰暗無光的。
,熱翕翕,非常悶熱。,,透心涼,由嘴、咽喉一直涼到心脾，形容涼極了。
,合味,對味。形容食物的味道搭配得恰到好處，合於飲食者喜好。,,扴味,因為摻合不同食材，造成味道彼此不相合。
,合味,合於飲食者所習慣或喜歡的味道。,,扴味,因為摻合不同食材，造成味道彼此不相合。
,無價,價錢不符預期、沒有利潤，多用在動詞之後做為補語。,,好價,好價格。
,無價,無價、珍貴、價值連城。,,俗,便宜。
,燒燙燙,溫度很高會燙人。,,冷吱吱,冷冰冰。形容非常冷。
,烏寒,陰天又寒冷的。,,大熱,酷暑。極炎熱的天氣。
,烏寒,陰天又寒冷的。,,溫暖,暖和。
,烏寒,陰天又寒冷的。,,燒烙,溫暖、暖和。
,烏寒,陰天又寒冷的。,,燒熱,極為炎熱的。
,千拄千,無巧不成書，準確的有點異常。,,毋拄好,搞不好、不湊巧。
,千拄千,無巧不成書，準確的有點異常。,,無拄好,不巧。
,山尖,山嶺的頂點。,,山跤,山腳。山下靠近平地的部分。
,白死殺,形容人的臉色蒼白，沒有血色。,,紅牙,紅潤。豐滿而帶有紅色的光澤。本詞目常重疊使用。
,白死殺,形容人的臉色蒼白，沒有血色。,,紅膏赤蠘,臉色紅潤，形容身體健康。
,㾀屎,器量狹小，用度過分節儉。吝嗇，不大方。,,大方,慷慨不小氣。
,㾀屎,器量狹小，用度過分節儉。吝嗇，不大方。,,大範,一個人的舉止十分大方、自然，不受拘束。
,㾀屎,器量狹小，用度過分節儉。吝嗇，不大方。,,冇手,大方、慷慨。
,㾀屎,器量狹小，用度過分節儉。吝嗇，不大方。,,慷慨,大方而不吝嗇。
,㾀屎,器量狹小，用度過分節儉。吝嗇，不大方。,,大出手,出手大方、大手筆。
,倒匼,向下覆蓋著。,,坦笑,面朝上。
,烏汁汁,又黑又髒。,,白蔥蔥,形容非常潔白。
,烏汁汁,又黑又髒。,,白鑠鑠,白晃晃。形容很白的樣子。
,欲死,表示對某事嫌惡不滿。,,快活,愉快、舒服。
,欲死,表示對某事嫌惡不滿。,,爽快,開心、愉快、心情好。
,圓棍棍,身材胖胖的樣子。,,瘦卑巴,瘦巴巴、瘦骨如柴。
,勇跤,強壯有力。,,荏身,身體虛弱。
,勇跤,強壯有力。,,軟弱,體質虛弱沒力氣。
,勇跤,強壯有力。,,荏身命,天生體質虛弱，容易生病。
,勇跤,財務健全者。,,半病仔,喻指不中用、無能的人。
,當初時,當初、那時候。,,今,此時、現在。
,當初時,當初、那時候。,,到今,及今、如今、至今。到如今。
,當初時,當初、那時候。,,現此時,現在、目前。
,當初時,當初、那時候。,,這站,這陣子、現在。說話當時的前後一段時間或一個節點。
,當初時,當初、那時候。,,這陣,現在。當下這個時刻。
,當初時,當初、那時候。,,這馬,現在。
